stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key-resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
30,0.5,6.5,43.30181520001497,,43.28578200004995,43.30181520001497,43.800630700076,43.800630700076,43.81724989996292,44.11592820007354,44.3656292000087,left,-6.5,1,1,0.5511724000098184,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
31,0.5,6.0,44.381763000041246,,44.365713700070046,44.381763000041246,44.88072600006126,44.88072600006126,44.896910700015724,45.179611500003375,45.47939870005939,right,6.0,1,1,0.5936236000852659,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
32,0.5,6.0,45.49539140006527,,45.479489400051534,45.49539140006527,45.99363390007056,45.99363390007056,46.01045810000505,46.29304090002552,46.643227500026114,left,-6.0,1,1,0.6432952999603003,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
33,0.5,6.0,46.65873080003075,,46.64330980007071,46.65873080003075,47.142792199971154,47.142792199971154,47.15905300003942,47.44136339996476,47.724085099995136,right,6.0,1,1,0.5746503000846133,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
34,0.5,5.5,47.74112939997576,,47.72417020006105,47.74112939997576,48.23901670007035,48.23901670007035,48.25474890007172,48.55362690007314,48.80471110006329,left,-5.5,1,1,0.5608370000263676,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
35,0.5,5.5,48.81989969999995,,48.804834600072354,48.81989969999995,49.318874299991876,49.318874299991876,49.3346162000671,49.61740880005527,49.934722000034526,left,-5.5,1,1,0.6045422001043335,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
36,0.5,5.5,49.950097499997355,,49.93485329998657,49.950097499997355,50.44864980003331,50.44864980003331,50.46534870006144,50.76438760000747,50.86501070007216,left,-5.5,1,1,0.40796330000739545,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
37,0.5,5.0,50.88081640005112,,50.86509500001557,50.88081640005112,51.37976180005353,51.37976180005353,51.396137300063856,51.69535799999721,51.895172900054604,left,-5.0,1,1,0.49964599998202175,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
38,0.5,5.0,51.91141200007405,,51.895256699994206,51.91141200007405,52.410164800006896,52.410164800006896,52.410164800006896,52.709491900051944,52.726837800000794,right,5.0,0,0,0.3055784999160096,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
39,0.5,5.5,52.742683300049976,,52.7269493000349,52.742683300049976,53.241271100007,53.241271100007,53.258072399999946,53.540300099994056,54.05685910000466,left,-5.5,1,1,0.8111801999621093,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
40,0.5,5.5,54.07182830001693,,54.05693850002717,54.07182830001693,54.570713000022806,54.570713000022806,54.587541199987754,54.86954700003844,55.170126900076866,left,-5.5,1,1,0.5962743000127375,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
41,0.5,5.5,55.185295399976894,,55.17020849999972,55.185295399976894,55.68425220006611,55.68425220006611,55.68425220006611,55.98356089997105,56.26694480003789,right,5.5,1,1,0.5696570000145584,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
42,0.5,5.0,56.2827946000034,,56.267030799994245,56.2827946000034,56.781711300020106,56.781711300020106,56.781711300020106,57.080616599996574,57.3806365999626,right,5.0,1,1,0.5886145000113174,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
43,0.5,5.0,57.396775100030936,,57.38071900000796,57.396775100030936,57.894715500064194,57.894715500064194,57.91191370005254,58.1940476000309,59.989959500031546,right,5.0,1,1,2.0816677999682724,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
44,0.5,5.0,60.00547810003627,,59.99004090006929,60.00547810003627,60.50478059996385,60.50478059996385,60.50478059996385,60.80361279996578,61.08745930006262,left,-5.0,1,1,0.5810817999299616,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
45,0.5,4.5,61.10274090000894,,61.08754430001136,61.10274090000894,61.602079099975526,61.602079099975526,61.61810249998234,61.91768169996794,62.36645770003088,right,4.5,1,1,0.7574128999840468,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
46,0.5,4.5,62.38322940003127,,62.36655989999417,62.38322940003127,62.88066680007614,62.88066680007614,62.897695300052874,63.18083810003009,63.34741170005873,left,-4.5,1,1,0.45464070001617074,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
47,0.5,4.5,63.36284349998459,,63.34749249997549,63.36284349998459,63.86160820000805,63.86160820000805,63.86160820000805,64.16081530007068,64.22892959997989,left,-4.5,0,0,0.3551199999637902,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
48,0.5,5.0,64.24363949999679,,64.22901670006104,64.24363949999679,64.74240500002634,64.74240500002634,64.74240500002634,65.0422451000195,65.45858560001943,left,-5.0,1,1,0.6997836000518873,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
49,0.5,5.0,65.47423639998306,,65.45871749997605,65.47423639998306,65.97330109996255,65.97330109996255,65.98964949999936,66.27193290006835,66.50601969996933,left,-5.0,1,1,0.5310383000178263,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
